Observer: RMA
     lat: 50:50:38.5
     lon: 4:23:34.5
    date: 20250211
  cutoff: 10

      |#Vis|  BEIDOU-2 I   BEIDOU-2 G   BEIDOU-2 I   BEIDOU-2 I   BEIDOU-2 I   BEIDOU-2 I   BEIDOU-2 G   BEIDOU-2 M   BEIDOU-2 M   BEIDOU-2 M   BEIDOU-2 G   BEIDOU-3S  
              GSO-1 (C06   4 (C04)      GSO-2 (C07   GSO-3 (C08   GSO-4 (C09   GSO-5 (C10   5 (C05)      3 (C11)      4 (C12)      6 (C14)      6 (C02)      IGSO-1S (C 

11:10 | 13 |  ---- -----   ---- -----   71.7 292.3   ---- -----   ---- -----   51.9 110.1   14.3 259.3   ---- -----   ---- -----   49.6  83.7   ---- -----   ---- ----- 
11:15 | 14 |  ---- -----   ---- -----   73.7 292.3   ---- -----   ---- -----   49.9 111.6   12.8 257.8   ---- -----   ---- -----   49.3  80.6   ---- -----   ---- ----- 
11:20 | 13 |  ---- -----   ---- -----   75.7 292.1   ---- -----   ---- -----   48.0 113.0   11.3 256.4   ---- -----   ---- -----   48.8  77.5   ---- -----   ---- ----- 
11:25 | 12 |  ---- -----   ---- -----   77.8 291.3   ---- -----   ---- -----   46.1 114.4   ---- -----   ---- -----   ---- -----   48.2  74.6   ---- -----   ---- ----- 
11:30 | 12 |  ---- -----   ---- -----   79.8 289.7   ---- -----   ---- -----   44.2 115.8   ---- -----   ---- -----   ---- -----   47.4  71.8   ---- -----   ---- ----- 
11:35 | 11 |  ---- -----   ---- -----   81.8 286.7   ---- -----   ---- -----   42.2 117.1   ---- -----   ---- -----   ---- -----   46.5  69.2   ---- -----   ---- ----- 
11:40 | 11 |  ---- -----   ---- -----   83.8 281.0   ---- -----   ---- -----   40.3 118.4   ---- -----   ---- -----   ---- -----   45.5  66.8   ---- -----   ---- ----- 
11:45 | 11 |  ---- -----   ---- -----   85.6 269.3   ---- -----   ---- -----   38.4 119.7   ---- -----   ---- -----   ---- -----   44.4  64.5   ---- -----   ---- ----- 
11:50 | 11 |  ---- -----   ---- -----   86.9 243.6   ---- -----   ---- -----   36.5 120.9   ---- -----   ---- -----   ---- -----   43.2  62.4   ---- -----   ---- ----- 
11:55 | 12 |  ---- -----   ---- -----   87.0 202.6   ---- -----   ---- -----   34.6 122.1   ---- -----   ---- -----   ---- -----   41.8  60.5   ---- -----   ---- ----- 
12:00 | 12 |  ---- -----   ---- -----   85.8 174.3   ---- -----   ---- -----   32.7 123.3   ---- -----   ---- -----   ---- -----   40.4  58.8   ---- -----   ---- ----- 
12:05 | 11 |  ---- -----   ---- -----   84.0 161.4   ---- -----   ---- -----   30.8 124.4   ---- -----   ---- -----   ---- -----   39.0  57.2   ---- -----   ---- ----- 
12:10 | 11 |  ---- -----   ---- -----   82.0 155.1   ---- -----   ---- -----   28.9 125.5   ---- -----   ---- -----   ---- -----   37.4  55.8   ---- -----   ---- ----- 
12:15 | 12 |  ---- -----   ---- -----   79.9 151.7   ---- -----   ---- -----   27.0 126.6   ---- -----   ---- -----   ---- -----   35.9  54.6   ---- -----   ---- ----- 
12:20 | 12 |  ---- -----   ---- -----   77.7 149.9   ---- -----   ---- -----   25.2 127.7   ---- -----   ---- -----   ---- -----   34.2  53.5   ---- -----   ---- ----- 
12:25 | 12 |  ---- -----   ---- -----   75.6 148.9   ---- -----   ---- -----   23.3 128.7   ---- -----   ---- -----   ---- -----   32.6  52.5   ---- -----   ---- ----- 
12:30 | 12 |  ---- -----   ---- -----   73.4 148.3   ---- -----   ---- -----   21.4 129.7   ---- -----   ---- -----   ---- -----   30.9  51.7   ---- -----   ---- ----- 
12:35 | 13 |  ---- -----   ---- -----   71.2 148.2   ---- -----   ---- -----   19.6 130.6   ---- -----   ---- -----   ---- -----   29.2  51.0   ---- -----   ---- ----- 
